交易所,品种,GCS_CMD_CODE,合约乘数,最小报价,T日涨跌幅,T日公司,T日交易所,单笔最大下单(手),LAST_TRADE_DATE,最后交易日,临近交割月首次提保
DCE,大豆二,b,10,1,±4%,-0.18,-0.05,1000,10,合约月份第10个交易日,交割月前一月第十五交易日起：≥10％
DCE,棕榈油,p,10,2,±5%,-0.13,-0.07,1000,10,,
DCE,豆油,y,10,2,±5%,-0.13,-0.07,1000,10,,
DCE,聚乙烯,l,5,5,±5%,-0.13,-0.07,1000,10,,
DCE,聚氯乙烯,v,5,5,±5%,-0.13,-0.07,1000,10,,
DCE,黄玉米,c,10,1,±5%,-0.12,-0.07,2000,10,,
DCE,大豆一,a,10,1,±5%,-0.12,-0.07,1000,10,,
DCE,玉米淀粉,cs,10,1,±5%,-0.12,-0.07,1000,10,,
DCE,聚丙烯,PP,5,1,±5%,-0.13,-0.07,1000,10,,
DCE,铁矿石,i,100,0.5,±8%,-0.17,-0.1,1000,10,,
DCE,鸡蛋,jd,10,1,±5%,-0.13,-0.08,300,10,,
DCE,豆粕,m,10,1,±5%,-0.13,-0.07,1000,10,,
DCE,焦炭,j,100,0.5,±8%,-0.18,-0.12,500,10,,
DCE,焦煤,jm,60,0.5,±8%,-0.18,-0.12,1000,10,,
DCE,纤维板,fb,500,0.05,±5%,-0.25,-0.2,1000,10,,
DCE,胶合板,bb,500,0.05,±5%,-0.23,-0.2,1000,10,,
CZCE,早籼稻,RI,20,1,±4%,-0.2,-0.05,1000,10,合约交割月第10个交易日,交割月前一个月第16个日历日至交割月前一个月最后一个日历日期间的交易日起：所有品种≥10％
CZCE,晚籼稻,LR,20,1,±4%,-0.2,-0.05,1000,10,合约交割月第10个交易日,交割月前一个月第16个日历日至交割月前一个月最后一个日历日期间的交易日起：所有品种≥10％
CZCE,棉纱,CY,5,5,±4%,-0.11,-0.05,1000,10,,
CZCE,郑麦,WH,20,1,±7%,-0.24,-0.2,1000,10,,
CZCE,普通小麦,PM,50,1,±4%,-0.21,-0.05,1000,10,,
CZCE,菜籽油,OI,10,2,±5%,-0.13,-0.07,1000,10,,
CZCE,菜籽,RS,10,1,±10%,-0.23,-0.2,1000,10,,
CZCE,粳稻,JR,20,1,±4%,-0.2,-0.05,1000,10,,
CZCE,白糖,SR,10,1,±4%,-0.12,-0.05,1000,10,,
CZCE,玻璃,FG,20,1,±5%,-0.12,-0.07,1000,10,,
CZCE,硅铁,SF,5,2,±6%,-0.2,-0.07,1000,10,,
CZCE,精对苯二甲酸,TA,5,2,±5%,-0.12,-0.06,1000,10,,
CZCE,菜粕,RM,10,1,±5%,-0.12,-0.06,1000,10,,
CZCE,动力煤,ZC,100,0.2,±6%,-0.13,-0.08,1000,10,合约交割月份的第5个交易日,
CZCE,一号棉花,CF,5,5,±5%,-0.12,-0.07,1000,10,合约交割月第10个交易日,
CZCE,郑醇,MA,10,1,±5%,-0.14,-0.07,1000,10,,
CZCE,锰硅,SM,5,2,±6%,-0.15,-0.07,1000,10,,
SHFE,铝,al,5,5,±6%,-0.15,-0.08,500,15,合约月份的15日(遇法定假日顺延),"交割月前二月第十交易日起：FU≥10％；
交割月前一月第一个交易日CU、AL、ZN、PB、RB、RU、WR
、AG、AU、BU、HC、SN、NI≥10%"
SHFE,铅,pb,5,5,±6%,-0.15,-0.08,500,15,,
SHFE,锡,sn,1,10,±6%,-0.15,-0.08,500,15,,
SHFE,锌,zn,5,5,±6%,-0.15,-0.08,500,15,,
SHFE,黄金,au,1000,0.05,±5%,-0.13,-0.06,500,15,,
SHFE,螺纹钢,rb,10,1,±7%,-0.16,-0.09,500,15,,
SHFE,白银,ag,15,1,±5%,-0.14,-0.07,500,15,,
SHFE,铜,cu,5,10,±6%,-0.15,-0.08,500,15,,
SHFE,热轧卷板,hc,10,1,±6%,-0.15,-0.08,500,15,,
SHFE,镍,ni,1,10,±6%,-0.15,-0.08,500,15,,
SHFE,沥青,bu,10,2,±6%,-0.15,-0.08,500,15,,
SHFE,天然橡胶,ru,10,5,±7%,-0.16,-0.09,500,15,,
SHFE,线材,wr,10,1,±5%,-0.23,-0.2,500,15,,
SHFE,燃料油,fu,50,1,±5%,-0.5,-0.4,500,-1,前月最后一个交易日,交割月前二月第一交易日10%
CFFE,5年期国债,TF,10000,0.005,±1.2%,-0.022,-0.012,国债：限价 50，市价30；股指：限价 20，市价10,0,合约到期月份的第2个周五,"交割月前一月下旬的前一个交易日结算时：TF提至1.5%，
T提至3.0%；交割月份第一个交易日：TF提至2%，T提至4%"
CFFE,10年期国债,T,10000,0.005,±2%,-0.03,-0.02,,0,,
CFFE,沪深300、上证50,IF,300,0.2,±10%,-0.18,-0.15,,0,合约到期月份的第3个周五,不作调整
CFFE,沪深300、上证50,IH,300,0.2,±10%,-0.18,-0.15,,0,合约到期月份的第3个周五,不作调整
INE,,SC,1000,,,,,,,,
